instrument,group,era,shape,duration_bucket,horizon,n_signals,reversion_rate_pct,continuation_rate_pct,anti_rev_depth_z,time_to_turn_days,half_life_days,net_directional_bias_pct,low_n_flag
M5-M6,live-9,full,TB,established,10,2,0.0,0.0,,,,-50.0,LOW-N
M5-M6,live-9,full,TB,established,20,2,100.0,0.0,,,2.0,50.0,LOW-N
M5-M6,live-9,full,TB,mid,5,10,10.0,40.0,2.212,1.0,1.0,-40.0,LOW-N
M5-M6,live-9,full,TB,mid,10,10,10.0,40.0,2.212,1.0,1.0,-40.0,LOW-N
M5-M6,live-9,full,TB,mid,20,10,50.0,40.0,2.212,1.0,17.0,0.0,LOW-N
BF_M1M2M3,live-9,full,C,early,5,8,0.0,25.0,3.098,3.5,,-50.0,LOW-N
BF_M1M2M3,live-9,full,C,early,10,8,12.5,50.0,2.75,5.0,1.0,-37.5,LOW-N
BF_M1M2M3,live-9,full,C,early,20,8,75.0,62.5,2.68,6.0,10.0,25.0,LOW-N
BF_M1M2M3,live-9,full,C,established,5,88,64.77,38.64,2.625,1.5,2.0,14.77,
BF_M1M2M3,live-9,full,C,established,10,88,84.09,50.0,2.812,3.0,2.0,34.09,
BF_M1M2M3,live-9,full,C,established,20,85,97.65,65.88,2.796,8.0,2.0,47.65,
BF_M1M2M3,live-9,full,C,mid,5,18,83.33,16.67,2.312,1.0,2.0,33.33,LOW-N
BF_M1M2M3,live-9,full,C,mid,10,18,100.0,16.67,2.312,1.0,2.0,50.0,LOW-N
BF_M1M2M3,live-9,full,C,mid,20,17,100.0,58.82,2.62,17.5,2.0,50.0,LOW-N
BF_M1M2M3,live-9,full,F,early,5,11,36.36,9.09,2.012,1.0,2.5,-13.64,LOW-N
BF_M1M2M3,live-9,full,F,early,10,11,63.64,18.18,2.111,3.5,5.0,13.64,LOW-N
BF_M1M2M3,live-9,full,F,early,20,11,100.0,27.27,1.96,6.0,8.0,50.0,LOW-N
BF_M1M2M3,live-9,full,F,established,5,0,,,,,,,
BF_M1M2M3,live-9,full,F,established,10,0,,,,,,,
BF_M1M2M3,live-9,full,F,established,20,0,,,,,,,
BF_M1M2M3,live-9,full,F,mid,5,14,71.43,28.57,2.227,2.0,2.0,21.43,LOW-N
BF_M1M2M3,live-9,full,F,mid,10,14,78.57,35.71,2.491,2.0,2.0,28.57,LOW-N
BF_M1M2M3,live-9,full,F,mid,20,14,100.0,50.0,2.311,5.0,2.5,50.0,LOW-N
BF_M1M2M3,live-9,full,MB,early,5,13,15.38,38.46,2.121,3.0,5.0,-34.62,LOW-N
BF_M1M2M3,live-9,full,MB,early,10,13,76.92,38.46,2.121,3.0,6.0,26.92,LOW-N
BF_M1M2M3,live-9,full,MB,early,20,13,100.0,38.46,2.127,11.0,7.0,50.0,LOW-N
BF_M1M2M3,live-9,full,MB,established,5,4,50.0,50.0,2.16,1.5,2.5,0.0,LOW-N
BF_M1M2M3,live-9,full,MB,established,10,4,75.0,50.0,2.16,1.5,3.0,25.0,LOW-N
BF_M1M2M3,live-9,full,MB,established,20,4,75.0,50.0,2.16,1.5,3.0,25.0,LOW-N
BF_M1M2M3,live-9,full,MB,mid,5,15,80.0,0.0,,,2.0,30.0,LOW-N
BF_M1M2M3,live-9,full,MB,mid,10,15,86.67,40.0,1.934,7.5,2.0,36.67,LOW-N
BF_M1M2M3,live-9,full,MB,mid,20,15,93.33,46.67,2.452,9.0,2.0,43.33,LOW-N
BF_M1M2M3,live-9,full,SB,early,5,19,26.32,31.58,2.673,1.5,1.0,-23.68,LOW-N
BF_M1M2M3,live-9,full,SB,early,10,19,63.16,42.11,2.619,3.0,2.5,13.16,LOW-N
BF_M1M2M3,live-9,full,SB,early,20,19,78.95,63.16,2.574,11.0,3.0,28.95,LOW-N
BF_M1M2M3,live-9,full,SB,established,5,52,55.77,40.38,2.575,3.0,2.0,5.77,
BF_M1M2M3,live-9,full,SB,established,10,52,59.62,50.0,2.859,4.5,2.0,9.62,
BF_M1M2M3,live-9,full,SB,established,20,52,75.0,59.62,3.179,9.0,2.0,25.0,
BF_M1M2M3,live-9,full,SB,mid,5,75,38.67,42.67,2.305,2.0,2.0,-11.33,
BF_M1M2M3,live-9,full,SB,mid,10,75,62.67,50.67,2.388,4.0,2.0,12.67,
BF_M1M2M3,live-9,full,SB,mid,20,75,97.33,60.0,2.607,6.0,3.0,47.33,
BF_M1M2M3,live-9,full,TB,early,5,6,50.0,16.67,2.401,1.0,2.0,0.0,LOW-N
BF_M1M2M3,live-9,full,TB,early,10,6,66.67,16.67,2.401,1.0,3.5,16.67,LOW-N
BF_M1M2M3,live-9,full,TB,early,20,6,83.33,16.67,2.401,1.0,5.0,33.33,LOW-N
BF_M1M2M3,live-9,full,TB,established,5,1,0.0,0.0,,,,-50.0,LOW-N
BF_M1M2M3,live-9,full,TB,established,10,1,0.0,0.0,,,,-50.0,LOW-N
BF_M1M2M3,live-9,full,TB,established,20,1,100.0,100.0,2.278,17.0,10.0,50.0,LOW-N
BF_M1M2M3,live-9,full,TB,mid,5,6,0.0,33.33,1.854,1.5,,-50.0,LOW-N
BF_M1M2M3,live-9,full,TB,mid,10,6,0.0,33.33,1.854,1.5,,-50.0,LOW-N
BF_M1M2M3,live-9,full,TB,mid,20,6,83.33,33.33,1.854,1.5,3.0,33.33,LOW-N
BF_M2M3M4,live-9,full,C,early,5,4,25.0,0.0,,,1.0,-25.0,LOW-N
BF_M2M3M4,live-9,full,C,early,10,4,75.0,0.0,,,3.0,25.0,LOW-N
BF_M2M3M4,live-9,full,C,early,20,4,100.0,25.0,2.377,12.0,5.0,50.0,LOW-N
BF_M2M3M4,live-9,full,C,established,5,126,31.75,45.24,2.348,2.0,2.0,-18.25,
BF_M2M3M4,live-9,full,C,established,10,126,56.35,57.94,2.485,3.0,3.0,6.35,
BF_M2M3M4,live-9,full,C,established,20,126,79.37,72.22,2.597,8.0,3.0,29.37,
BF_M2M3M4,live-9,full,C,mid,5,15,60.0,26.67,2.384,2.0,1.0,10.0,LOW-N
