Timestamp (UTC),Open,High,Low,Close,FCPO Jan09: Volume
2008-09-01,2542,2542,2495,2499,0
2008-09-02,2530,2572,2466,2466,0
2008-09-03,2500,2527,2500,2527,0
2008-09-04,2450,2490,2435,2490,0
2008-09-08,2490,2493,2478,2478,0
2008-09-08,2390,2401,2365,2368,0
2008-09-09,2368,2405,2345,2345,0
2008-09-10,2355,2361,2305,2332,0
2008-09-11,2335,2412,2325,2412,0
2008-09-15,2389,2389,2260,2261,0
2008-09-15,2164,2167,2085,2126,0
2008-09-16,2135,2158,2050,2050,0
2008-09-17,2105,2192,2036,2192,0
2008-09-18,2169,2272,2149,2270,0
2008-09-22,2280,2378,2239,2354,0
2008-09-22,2405,2414,2292,2321,0
2008-09-23,2309,2365,2266,2326,0
2008-09-24,2284,2357,2272,2281,0
2008-09-25,2282,2330,2269,2312,0
2008-09-29,2270,2290,2116,2130,0
2008-09-29,2002,2118,1995,2092,0
2008-10-02,2007,2007,1935,2000,0
2008-10-06,1845,1880,1775,1835,0
2008-10-06,1800,1883,1800,1850,0
2008-10-07,1875,1894,1757,1770,0
2008-10-08,1838,1883,1810,1883,0
2008-10-09,1750,1780,1725,1763,0
2008-10-13,1730,1832,1730,1831,0
2008-10-13,1878,1900,1829,1850,0
2008-10-14,1788,1800,1735,1748,0
2008-10-15,1655,1667,1593,1651,0
2008-10-16,1694,1705,1620,1635,0
2008-10-20,1699,1727,1660,1677,0
2008-10-20,1695,1714,1639,1652,0
2008-10-21,1625,1635,1542,1565,0
2008-10-22,1489,1586,1475,1550,0
2008-10-23,1520,1556,1358,1390,0
2008-10-28,1428,1441,1391,1435,0
2008-10-29,1520,1578,1491,1560,0
2008-10-30,1500,1539,1491,1515,0
2008-11-03,1599,1666,1593,1666,0
2008-11-03,1589,1610,1546,1578,0
2008-11-04,1649,1723,1626,1640,0
2008-11-05,1575,1607,1548,1599,0
2008-11-06,1580,1640,1560,1609,0
2008-11-10,1660,1696,1612,1625,0
2008-11-10,1587,1610,1571,1586,0
2008-11-11,1542,1563,1505,1539,0
2008-11-12,1483,1496,1435,1480,0
2008-11-13,1520,1520,1447,1455,0
2008-11-17,1455,1463,1416,1433,0
2008-11-17,1435,1446,1407,1440,0
2008-11-18,1446,1493,1440,1480,0
2008-11-19,1440,1470,1430,1470,0
2008-11-20,1402,1471,1387,1462,0
2008-11-24,1488,1501,1461,1486,0
2008-11-24,1532,1543,1512,1518,0
2008-11-25,1523,1599,1504,1591,0
2008-11-26,1582,1662,1582,1658,0
2008-11-27,1647,1690,1625,1625,0
2008-12-01,1614,1670,1593,1615,0
2008-12-01,1575,1609,1559,1603,0
2008-12-02,1572,1579,1535,1536,0
2008-12-03,1540,1550,1459,1462,0
2008-12-04,1406,1495,1395,1495,0
2008-12-09,1585,1603,1565,1603,0
2008-12-10,1599,1657,1580,1645,0
2008-12-11,1637,1648,1570,1589,0
2008-12-15,1624,1628,1575,1580,0
2008-12-15,1555,1565,1535,1545,0
2008-12-16,1570,1586,1555,1586,0
2008-12-17,1553,1575,1541,1541,0
2008-12-18,1535,1545,1515,1542,0
2008-12-22,1586,1597,1575,1590,0
2008-12-22,1572,1572,1540,1540,0
2008-12-23,1550,1565,1545,1565,0
2008-12-25,1570,1595,1565,1595,0
2008-12-29,1660,1676,1641,1676,0
2008-12-30,1650,1688,1650,1685,0
2009-01-01,1720,1745,1720,1737,0
2009-01-05,1757,1860,1755,1860,0
2009-01-05,1876,2000,1855,2000,0
2009-01-06,2052,2065,1900,1900,0
2009-01-07,1912,1937,1885,1885,0
2009-01-08,1930,1941,1900,1910,0
2009-01-12,1951,1976,1943,1971,0
2009-01-12,1851,1858,1790,1858,0
2009-01-13,1860,1876,1860,1876,0
2009-01-14,1830,1830,1820,1820,0
